input_size,case,time_sec,comparisons,writes
100,sorted,0.00027014266665522274,316.0,672.0
100,random,0.00029828066665989655,549.0,672.0
100,reverse,0.0002256293333478728,356.0,672.0
500,sorted,0.0020580956666549355,2216.0,4488.0
500,random,0.0038358773333584395,3837.0,4488.0
500,reverse,0.0024887963333336907,2272.0,4488.0
1000,sorted,0.004341466999998526,4932.0,9976.0
1000,random,0.005065884333324296,8720.0,9976.0
1000,reverse,0.004684954999978193,5044.0,9976.0
2000,sorted,0.010386113999989751,10864.0,21952.0
2000,random,0.01207625533332172,19389.0,21952.0
2000,reverse,0.00975697766665462,11088.0,21952.0
4000,sorted,0.021598263000006074,23728.0,47904.0
4000,random,0.024148484000022563,42787.0,47904.0
4000,reverse,0.020375776000018202,24176.0,47904.0
