input_size,case,time_sec,comparisons,swaps
100,sorted,0.00015900966673143557,480.0,126.0
100,random,0.00019652266655612038,536.0,352.0
100,reverse,0.00019580399991051914,686.0,479.0
500,sorted,0.0008863796667052762,3498.0,510.0
500,random,0.0017141553333506938,3947.0,2577.0
500,reverse,0.0017901463332539909,6018.0,3911.0
1000,sorted,0.002173831666671807,7987.0,1022.0
1000,random,0.0031310246666483485,8975.0,4977.0
1000,reverse,0.004103475333219346,14378.0,9227.0
2000,sorted,0.004864734666777319,17964.0,2046.0
2000,random,0.0071228463333075824,22110.0,12051.0
2000,reverse,0.009713554666935428,33670.0,21399.0
4000,sorted,0.011412830333332144,39917.0,4094.0
4000,random,0.015674767999826145,45713.0,24639.0
4000,reverse,0.02065077400008401,77062.0,48623.0
