input_size,case,time_sec,comparisons,swaps
100,sorted,2.192699988275611e-05,99.0,0.0
100,random,0.0018185566668762476,4740.0,2298.0
100,reverse,0.0012939466669195099,4950.0,4950.0
300,sorted,6.531833302384864e-05,299.0,0.0
300,random,0.013798633333559943,44385.0,23263.0
300,reverse,0.013008343333240191,44850.0,44850.0
500,sorted,6.308166666713078e-05,499.0,0.0
500,random,0.03535390233325112,124084.0,59269.0
500,reverse,0.0364403223335709,124750.0,124750.0
800,sorted,9.913099953943554e-05,799.0,0.0
800,random,0.08273578600013327,317584.0,159343.0
800,reverse,0.09016505766673315,319600.0,319600.0
