input_size,case,time_sec,comparisons,swaps
100,sorted,0.0005145616666292577,4950.0,0.0
100,random,0.0005641693333018338,4950.0,93.0
100,reverse,0.0005233603333560192,4950.0,50.0
500,sorted,0.01634425499999755,124750.0,0.0
500,random,0.02108331433331993,124750.0,493.0
500,reverse,0.017709675333321684,124750.0,250.0
1000,sorted,0.06879964366665565,499500.0,0.0
1000,random,0.0689631063333233,499500.0,994.0
1000,reverse,0.0654146203333615,499500.0,500.0
2000,sorted,0.2558961370000361,1999000.0,0.0
2000,random,0.2591480846666248,1999000.0,1990.0
2000,reverse,0.2689825503332865,1999000.0,1000.0
4000,sorted,1.069658668333356,7998000.0,0.0
4000,random,1.0890005710000044,7998000.0,3994.0
4000,reverse,1.0468968589999956,7998000.0,2000.0
